"","life_satisfaction","household_size","house_owned","live_with_partner","no_child","house"
"804",8,4,1,0,1,1
"805",10,4,1,0,0,1
"806",10,2,1,1,1,1
"807",8,2,1,0,1,1
"808",9,3,1,0,0,1
"809",7,1,1,0,1,0
"810",8,1,0,0,1,0
"811",8,1,0,0,1,0
"812",2,2,1,0,1,1
"813",9,4,1,0,1,1
"814",8,2,1,0,0,0
"815",0,1,0,0,1,0
"816",9,2,1,0,1,1
"817",7,3,1,0,0,1
"818",10,2,1,1,1,0
"819",10,2,1,0,1,1
"820",8,2,0,1,1,1
"821",8,2,1,0,1,1
"822",10,4,1,1,0,1
"823",10,2,1,0,1,1
"824",10,2,1,0,1,1
"825",8,4,0,0,0,0
"826",9,2,1,0,1,0
"827",8,1,1,0,1,1
"828",8,2,1,0,1,0
"829",7,2,1,1,1,1
"830",5,4,1,0,1,1
"831",8,1,1,0,1,0
"832",10,4,1,0,0,0
"833",8,1,1,0,1,1
"834",10,4,1,0,1,1
"835",7,1,0,0,1,0
"836",10,1,0,0,1,0
"837",9,2,1,0,1,1
"838",10,2,1,0,1,1
"839",10,2,1,1,1,1
"840",9,1,1,0,1,1
"841",9,2,1,0,1,1
"842",9,1,1,0,1,1
"843",6,4,1,0,0,1
"844",8,2,1,0,1,0
"845",7,2,1,0,1,1
"846",7,2,1,0,1,0
"847",7,2,0,0,1,0
"848",9,3,1,0,1,1
"849",10,1,0,0,1,0
"850",10,3,1,0,1,1
"851",8,6,1,0,0,1
"852",10,2,1,0,1,1
"853",10,2,1,0,1,1
"854",7,2,0,0,1,0
"855",10,2,1,0,1,1
"856",9,2,1,0,1,1
"857",10,2,0,0,1,0
"858",8,2,1,1,1,1
"859",8,3,1,0,1,1
"860",10,2,1,0,1,0
"861",10,2,1,0,1,1
"862",8,2,1,1,1,0
"863",10,2,1,0,1,1
"864",10,3,1,0,0,1
"865",7,4,1,0,0,1
"866",9,4,0,0,0,1
"867",9,2,1,0,1,0
"868",8,3,1,0,1,1
"869",8,5,0,0,0,0
"870",9,2,1,1,1,0
"871",8,1,0,0,1,1
"872",9,2,1,1,1,1
"873",5,4,1,0,0,1
"874",9,2,1,0,1,1
"875",8,2,1,0,1,1
"876",7,4,0,0,1,0
"877",7,1,0,0,1,0
"878",5,1,0,0,1,0
"879",9,2,1,0,1,1
"880",7,1,1,0,1,0
"881",10,1,0,0,1,0
"882",7,3,1,0,1,1
"883",9,2,1,0,1,0
"884",8,2,1,0,1,1
"885",8,1,1,0,1,1
"886",10,2,1,0,1,1
"887",10,2,1,0,1,0
"888",10,3,1,1,0,0
"889",9,3,1,0,1,1
"890",8,3,1,0,1,1
"891",7,3,0,0,1,0
"892",7,4,1,0,0,1
"893",9,2,1,0,1,0
"894",9,2,1,0,1,1
"895",9,2,1,0,1,1
"896",8,1,0,0,1,0
"897",10,2,1,0,1,1
"898",8,1,1,0,1,0
"899",3,2,1,1,1,1
"900",8,2,1,0,1,1
"901",10,4,1,0,1,1
"902",8,2,1,0,1,1
"903",9,4,1,0,1,1
"904",9,2,1,0,1,1
"905",7,1,0,0,1,1
"906",10,2,1,1,1,0
"907",6,1,0,0,1,0
"908",8,1,1,0,1,0
"909",9,2,1,0,1,1
"910",7,1,0,0,1,0
"911",10,2,0,0,1,0
"912",6,5,1,0,0,0
"913",5,3,0,1,0,0
"914",6,2,1,0,1,0
"915",9,2,1,0,1,1
"916",10,2,1,0,1,1
"917",10,4,1,0,1,1
"918",5,4,0,0,0,1
"919",9,3,1,0,0,1
